LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID31516640,31516640,0,138.97279357910156,525.9080773805741,567.3801762310699,29.1768899588931,0.0,0,7.5,1,,603.6042641705668,572.0,385.0,1113.0,1160731.0,111.78523858530828,33875.615184607384,33895.0,17912.0,60452.0,6.5142808E7,6064.876522546352,0.06007843511622452,0.612038086720513,-0.0013103529194153616,-0.014657265544130623
ID31367518,31367518,0,141.9113311767578,522.6016543737036,573.0392066121341,25.41175511061768,6.0,6,7.5,1,,609.523140925637,580.0,429.0,1117.0,1172113.0,110.82665853274756,35068.222568902755,35020.0,19653.0,54774.0,6.7436192E7,5612.819187206452,0.060310332459181173,0.625654660402694,-0.0023634068336945637,-0.029602528932752253
ID31818983,31818983,0,161.6885528564453,522.8117429804508,564.9128503908294,24.34736594522537,11.0,11,7.5,1,,617.3853354134166,590.0,394.0,1170.0,1187232.0,110.98388260909753,36421.74466978679,36168.0,17556.0,57610.0,7.0039015E7,5694.903269551543,0.06660401652050538,0.6947420670088716,0.006569525410331281,0.08348233897210569
ID31780640,31780640,0,174.0235137939453,524.3917369298891,568.8229845361857,27.20797679964207,21.0,21,7.5,1,,621.1497659906396,588.0,442.0,1205.0,1194471.0,117.57351380514402,36429.71034841394,36348.0,21924.0,57479.0,7.0054333E7,5387.004092580368,0.06961560636932639,0.6876947411155496,0.004689440546351272,0.06312881028374578
ID32349032,32349032,0,156.05845642089844,519.8678881975844,570.7451654200875,28.30646894066639,16.0,16,7.5,1,,618.3556942277692,587.0,426.0,1187.0,1189098.0,115.16391228863976,36173.097763910555,35899.0,20628.0,57879.0,6.9560867E7,5748.779340624464,0.06788396224610437,0.6826452443089551,0.004615083371593947,0.05781225574724933
ID31404246,31404246,0,184.50990295410156,523.3566584289812,570.231973621516,27.6585848235919,24.0,24,7.5,1,,625.8013520540821,591.0,412.0,1140.0,1203416.0,121.69666431053258,36576.26521060843,36439.0,21220.0,60575.0,7.0336158E7,6144.9219393206895,0.07190687230039787,0.6899238556139253,0.002415220650486993,0.028682839588016474
ID31864364,31864364,0,147.64520263671875,527.1545083859664,569.3804682352986,30.456162818599672,1.0,1,7.5,1,,622.0416016640665,571.0,411.0,1452.0,1196186.0,156.08265552190437,33771.82631305252,33891.0,14523.0,60873.0,6.4943222E7,7020.244111497096,0.07126048276060457,0.5302106620363478,-0.008382327477748808,-0.08133035994734472
