LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID33261498,33261498,0,156.25244140625,399.06759466956777,419.8051970237316,277.5126985390721,3.0,3,7.5,1,,585.1513260530421,549.0,414.0,1229.0,1125246.0,118.37695958207067,31359.36869474779,31324.0,22236.0,44415.0,6.0304066E7,4079.0787086218215,0.054894538070242666,0.5144593908512579,-0.004114170534327282,-0.06351962976651519
ID33836101,33836101,0,161.93788146972656,393.94533713153606,434.489059044158,270.4326855145794,27.0,27,7.5,1,,590.7701508060322,552.0,401.0,1279.0,1136051.0,124.59798915089083,30855.1248049922,30872.0,20978.0,46650.0,5.9334405E7,4178.282442291111,0.05931288365894454,0.5309605945571316,-0.004525735658797759,-0.06714576964256669
ID33797639,33797639,0,157.06488037109375,400.2108463612994,420.32663061362274,276.85033320916654,0.0,0,7.5,1,,587.1882475299012,554.0,393.0,1355.0,1129163.0,119.38337900791566,32279.535621424857,31923.0,21917.0,47689.0,6.2073547E7,4381.885006281862,0.0581668816810708,0.540735771301136,4.552649372968757E-4,0.006704444926623975
ID32946162,32946162,0,159.02125549316406,403.1697308221671,432.11196576810204,271.50591413923297,29.0,29,7.5,1,,593.749349973999,552.0,418.0,1293.0,1141780.0,126.64531573349224,31112.3764950598,30990.0,20879.0,45124.0,5.98291E7,4090.6366670786933,0.06023866785426131,0.5327405216330793,-8.069635243572021E-4,-0.012285045809435065
ID33899904,33899904,0,175.8402557373047,396.3165264232384,430.06557622367035,279.11581348178987,23.0,23,7.5,1,,594.9017160686427,555.0,409.0,1298.0,1143996.0,121.45254770735855,31221.528341133646,31030.0,20468.0,47864.0,6.0038999E7,4514.933271834513,0.06269628746460451,0.5779646141680229,-1.8349166856666806E-5,-2.5377985045975225E-4
ID33220476,33220476,0,171.99105834960938,396.8274738275306,430.29111074769196,277.5865369509308,22.0,22,7.5,1,,594.5507020280811,551.0,395.0,1287.0,1143321.0,131.84723724079038,31061.19344773791,30927.0,18245.0,52291.0,5.9730675E7,4850.425270413888,0.06290639438738273,0.5337619750783877,-0.0030118389218765926,-0.038691009063820093
ID33629896,33629896,0,161.67984008789062,399.42245198094145,419.9205787212295,278.10379705465584,1.0,1,7.5,1,,586.2958918356734,552.0,411.0,1262.0,1127447.0,118.25572529395755,31717.365054602185,31774.0,22311.0,44433.0,6.0992493E7,4115.759054039893,0.055919811307959165,0.5251210523776544,-0.004232728322946688,-0.06551484236764232
