,cell,frame,x,y,z,celltype,E_V_cm,date,trial,user,x_shifted,y_shifted,z_shifted
0,0,1,576.8241472257993,40.258412546873,76.5052356684118,HL-60-TMEM154KO1,0,20241120,0,AP,576.8241472257993,40.258412546873,76.5052356684118
1,0,2,576.9628648644821,39.7575652915642,77.55236655644354,HL-60-TMEM154KO1,0,20241120,0,AP,576.9628648644821,39.7575652915642,77.55236655644354
2,0,3,578.0008659521117,38.875946973973136,78.7412726528709,HL-60-TMEM154KO1,0,20241120,0,AP,578.0008659521117,38.875946973973136,78.7412726528709
3,0,4,579.7103639641991,36.81433261747249,80.31355874144042,HL-60-TMEM154KO1,0,20241120,0,AP,579.7103639641991,36.81433261747249,80.31355874144042
4,0,5,579.3734707362794,37.45547247072802,79.25268126067226,HL-60-TMEM154KO1,0,20241120,0,AP,579.3734707362794,37.45547247072802,79.25268126067226
5,0,6,579.7658965065988,37.172512707888494,80.55165788533573,HL-60-TMEM154KO1,0,20241120,0,AP,579.7658965065988,37.172512707888494,80.55165788533573
6,0,7,571.4659903755158,39.772233165515665,74.81139103134748,HL-60-TMEM154KO1,0,20241120,0,AP,571.4659903755158,39.772233165515665,74.81139103134748
7,0,8,569.0343690909563,40.227475155974105,72.7227153593003,HL-60-TMEM154KO1,0,20241120,0,AP,569.0343690909563,40.227475155974105,72.7227153593003
8,0,9,565.1174586047545,38.48987007036699,69.71368965504371,HL-60-TMEM154KO1,0,20241120,0,AP,565.1174586047545,38.48987007036699,69.71368965504371
9,0,10,565.7077438294916,40.07665449862233,72.18475284956509,HL-60-TMEM154KO1,0,20241120,0,AP,565.7077438294916,40.07665449862233,72.18475284956509
10,0,11,565.8426571505717,39.55630872710942,72.54324943812074,HL-60-TMEM154KO1,0,20241120,0,AP,565.8426571505717,39.55630872710942,72.54324943812074
11,0,12,563.8268439471972,38.55864751078975,70.65921077891842,HL-60-TMEM154KO1,0,20241120,0,AP,563.8268439471972,38.55864751078975,70.65921077891842
12,0,13,563.8522169074846,39.273328993005585,71.06348106450106,HL-60-TMEM154KO1,0,20241120,0,AP,563.8522169074846,39.273328993005585,71.06348106450106
13,0,14,565.5572038865622,39.8032059068718,72.93498275549636,HL-60-TMEM154KO1,0,20241120,0,AP,565.5572038865622,39.8032059068718,72.93498275549636
14,0,15,569.5249239322487,39.24563088817357,78.2906804160462,HL-60-TMEM154KO1,0,20241120,0,AP,569.5249239322487,39.24563088817357,78.2906804160462
15,0,16,573.607993064828,38.0873398928626,83.02451044053467,HL-60-TMEM154KO1,0,20241120,0,AP,573.607993064828,38.0873398928626,83.02451044053467
16,0,17,566.9591698624454,38.93123903384336,75.04107273465662,HL-60-TMEM154KO1,0,20241120,0,AP,566.9591698624454,38.93123903384336,75.04107273465662
17,0,18,563.415011682077,44.390155786082516,68.04479817423699,HL-60-TMEM154KO1,0,20241120,0,AP,563.415011682077,44.390155786082516,68.04479817423699
