LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID1788955,1788955,0,52.24427795410156,599.9240879056401,40.72528976714189,29.225584905704984,0.0,0,7.5,1,,542.5652626105044,535.0,410.0,862.0,1043353.0,57.27979850819696,25875.55122204888,25727.0,17224.0,39305.0,4.9758685E7,3596.9391292795412,0.022532976514976783,0.41746660511200734,8.674092459589212E-4,0.012469068676075414
ID1591577,1591577,0,45.23688507080078,631.4390585875798,24.833439302404955,12.021656596206565,30.0,30,7.5,1,,541.3983359334374,534.0,411.0,811.0,1041109.0,53.0226566669212,24534.121164846594,24201.0,13933.0,35204.0,4.7179115E7,3479.9483570187467,0.019168008454335056,0.38407552930503913,-0.0020543931068954186,-0.02902714891558409
ID2070681,2070681,0,43.10710144042969,599.7338647299486,42.09469360870648,28.4259192805197,2.0,2,7.5,1,,545.3031721268851,539.0,421.0,796.0,1048618.0,53.26420047618606,26070.08216328653,25571.0,16455.0,43073.0,5.0132768E7,4597.484454975914,0.022781146932799094,0.4560636707310672,0.006402228765569462,0.07214591147857678
ID2297323,2297323,0,38.20505142211914,624.6648523264429,44.4854623727233,28.46457205014154,15.0,15,7.5,1,,537.3307332293292,532.0,418.0,812.0,1033287.0,51.11177918768397,24983.76183047322,24616.0,17343.0,35327.0,4.8043774E7,3128.4368110624837,0.018340145817752476,0.3786697362026937,-4.810222108134254E-5,-7.683276462951815E-4
ID1748435,1748435,0,56.42250061035156,602.7407362310286,52.177576333458745,39.04560500046217,4.0,4,7.5,1,,545.0098803952158,536.0,383.0,850.0,1048054.0,58.1229939054863,25578.655226209048,25315.0,14690.0,40015.0,4.9187754E7,4241.652597363389,0.023752548084790617,0.43511254498077,2.066344452469777E-4,0.002491641729261422
ID1828562,1828562,0,52.52197265625,599.0373751718435,49.74960847294407,36.679517615999,10.0,10,7.5,1,,546.1045241809672,532.0,386.0,911.0,1050159.0,68.14237249739084,25109.103484139367,24581.0,14919.0,48356.0,4.8284806E7,5038.236459357468,0.026064151209476805,0.407152955781741,0.0018996617536053135,0.018898820709342644
ID1840909,1840909,0,42.94386291503906,639.2054374622435,30.9066054509575,22.68977365893816,24.0,24,7.5,1,,540.0488819552783,535.0,386.0,818.0,1038514.0,53.51879966258335,24474.334373374935,24160.0,15640.0,39513.0,4.7064145E7,3910.0619129842926,0.020846798243394613,0.4121312012021056,-0.008149460634524364,-0.1028584280994085
