,gene,log2fold_diff_mean,exp,pvalue
99,C10orf82,-0.7313547473274435,No_efield,0.0047943437435351965
100,C11orf49,0.10788444284411242,No_efield,0.6424567075593114
101,C14orf1,-0.21168292001228398,No_efield,0.3470879323065319
102,C14orf177,0.18851164484134278,No_efield,0.40367685962063393
103,C14orf39,-2.4042757292725194,No_efield,0.00023506710580033577
104,C15orf41,-0.5663313706458388,No_efield,0.015308653728211897
105,C15orf57,-2.7940100837234483,No_efield,3.5882517707839414e-05
106,C16orf59,-2.0031777939162843,No_efield,7.322962797518248e-07
107,C16orf62,-1.6152178941099535,No_efield,0.0006737125773716788
108,C17orf102,0.18815691490967526,No_efield,0.4087026089885707
109,C17orf107,-0.3013446266436995,No_efield,0.18017197978129973
110,C17orf67,-0.21521822429736895,No_efield,0.34597703885014836
111,C18orf54,-0.10368106280359783,No_efield,0.6441768715204484
112,C18orf63,-0.17345371746559615,No_efield,0.44036197405108135
113,C18orf65,-0.77026487947272,No_efield,0.0004159442868990365
114,C19orf25,-1.9632236854481278,No_efield,7.322962797518248e-07
115,C19orf47,-1.3843216939042644,No_efield,3.5882517707839414e-05
116,C1QA,-0.6540083524113215,No_efield,0.009801785704478174
117,C1QTNF5,-1.855529300622873,No_efield,0.002223983801606292
118,C1orf27,-0.36171615371526983,No_efield,0.10955152345087299
119,C1orf87,0.09588700794607886,No_efield,0.6788232731080668
120,C3orf38,-0.35578230797679233,No_efield,0.120392437576319
121,C9orf50,-0.249163268751065,No_efield,0.2679896819454183
122,C9orf57,0.16553171318627244,No_efield,0.4668784223408949
123,CACYBP,-0.3402061909692469,No_efield,0.13064824697424332
124,CALCOCO1,0.35717335234092484,No_efield,0.10395018920705128
125,CALCRL,0.14647405758475388,No_efield,0.5214696454038339
126,CAMKV,-0.09361976863325443,No_efield,0.6737528536670652
127,CAND1,-1.9366747795816526,No_efield,7.322962797518248e-07
128,CANX,-0.46133714331074877,No_efield,0.040390533605991645
129,CAP1,-6.200756086788981,No_efield,7.322962797518248e-07
130,CAPZB,-7.481011090638934,No_efield,7.322962797518248e-07
131,CARM1,-1.6149579310193154,No_efield,2.1968888392554744e-06
132,CARS,-0.4094877023151635,No_efield,0.08023697107612769
133,CASP3,-0.886046568921858,No_efield,4.027629538635036e-05
134,CASP9,-0.5049766626886669,No_efield,0.024101335159192057
135,CASQ1,-3.141842109093385,No_efield,2.4898073511562043e-05
136,CBFB,-4.386188092152105,No_efield,7.322962797518248e-07
137,CCDC129,0.37799599305275544,No_efield,0.08830028541247503
138,CCDC130,-0.8617061683892274,No_efield,0.0002065075508900146
139,CCDC136,-0.6528506018901968,No_efield,0.00325871844489562
140,CCDC137,0.13420177518285484,No_efield,0.5598185369818774
141,CCDC174,-2.0060128586967703,No_efield,7.322962797518248e-07
142,CCDC177,0.1653420396349576,No_efield,0.4669875344865779
143,CCDC181,0.095693362456252,No_efield,0.6790656631766646
144,CCDC185,-1.088186875948412,No_efield,0.0014594664855453869
145,CCDC6,0.8922403069890597,No_efield,0.0005338439879390803
146,CCDC66,-0.1778778839735141,No_efield,0.42908094986150447
147,CCDC85B,-0.33772326196911534,No_efield,0.13333211283953375
148,CCDC93,-2.930690260752223,No_efield,7.322962797518248e-07
149,CCK,0.21798543907753073,No_efield,0.33223769604944464
150,CCNB1,0.3976072581429233,No_efield,0.07008075397224964
151,CCNB2,-0.123049309013829,No_efield,0.5801873580031746
152,CCNC,-4.9588492966833675,No_efield,7.322962797518248e-07
153,CCNE1,-0.7361692947936734,No_efield,0.0006283102080270657
154,CCNT1,-0.4498709837870292,No_efield,0.04460050491828489
155,CCR6,-0.9694969656025796,No_efield,0.0017545818862853722
156,CCT6A,-1.3298695242706609,No_efield,7.322962797518248e-07
157,CD247,-0.07870418498407944,No_efield,0.7227017338945164
158,CD300E,0.0673070923170009,No_efield,0.7743945282821977
159,CD79B,-0.6162704346738451,No_efield,0.00823833314720803
160,CDC5L,0.9266007270468775,No_efield,0.0005338439879390803
161,CDC7,-0.17008832585831135,No_efield,0.4555754292629255
162,CDC73,-0.655176106221187,No_efield,0.018024008333531665
163,CDCA3,0.0866628456389808,No_efield,0.7066483348497968
164,CDCA8,-0.17267065620354627,No_efield,0.4533419256096824
165,CDH20,-0.6051726324728103,No_efield,0.006837450364042788
166,CDK1,0.259821131725575,No_efield,0.2498309310964123
167,CDK12,-2.160638837245744,No_efield,7.322962797518248e-07
168,CDK2,-0.6197949975068763,No_efield,0.006874065178030379
169,CDK4,-2.388695239010432,No_efield,7.322962797518248e-07
170,CDKL4,0.37108220031584366,No_efield,0.09076958846779819
171,CDRT15,0.041429444836144295,No_efield,0.8632630756077602
172,CDT1,0.6340652680985482,No_efield,0.01048208894836762
173,CEACAM21,-0.5667776859515373,No_efield,0.014197027975548627
174,CEBPB,-2.156967764766963,No_efield,7.322962797518248e-07
175,CEBPD,-0.31805115465522094,No_efield,0.1601085263086592
176,CEBPE,-3.6125682581984786,No_efield,7.322962797518248e-07
177,CEBPG,0.6381506289934405,No_efield,0.003490124069297197
178,CELSR2,-0.30933428422111925,No_efield,0.16996157275272003
179,CELSR3,0.029226726498743073,No_efield,0.9063045217464534
180,CENPE,-0.052790340102636175,No_efield,0.8122212926127782
181,CENPH,0.4395237122047289,No_efield,0.04420067114954039
182,CENPM,-0.14690713123133722,No_efield,0.5125312370131831
183,CENPW,-0.09749306494045841,No_efield,0.6610650883240851
184,CEP152,-0.6964710305701048,No_efield,0.004583442414966671
185,CEP295,-0.6830465746241764,No_efield,0.003919249689231766
186,CEP55,-4.615238903963732,No_efield,7.322962797518248e-07
187,CERS2,-3.5917592817625685,No_efield,7.322962797518248e-07
188,CERS6,-0.9697922509760044,No_efield,2.5630369791313866e-05
189,CES3,0.11070289102326192,No_efield,0.6325355575612337
190,CFAP126,0.04550198056531459,No_efield,0.8506368231522792
191,CFH,-0.024666474606408306,No_efield,0.9052148648821827
192,CHEK1,0.5441295823766913,No_efield,0.011891026990610131
193,CHERP,0.01133670240129884,No_efield,0.9702742632641741
194,CHMP2A,-0.01959142113160417,No_efield,0.9229957508508367
195,CHMP3,0.6330865096331192,No_efield,0.005027946256776029
196,CHMP6,-0.5905166293976882,No_efield,0.007249733169543066
197,CHORDC1,0.05013397025409222,No_efield,0.8319720555739647
198,CHST12,-0.8694558264814717,No_efield,0.00022261806904455474
199,CHST9,0.15484339009728307,No_efield,0.49863957658629104
200,CHSY1,-0.4216560421286919,No_efield,0.06061069848249903
201,CHTF8,-2.4155248876043576,No_efield,2.123659211280292e-05
202,CILP2,-0.6665557139510417,No_efield,0.002073130767977416
203,CIT,1.3674818686771095,No_efield,0.0001896647364557226
204,CLCN5,0.4855814623016999,No_efield,0.02512508535828511
205,CLDN24,0.6745557398057894,No_efield,0.0029020901566564816
206,CLEC10A,-0.28822181525981894,No_efield,0.20094502834901973
207,CLEC4D,-0.08708100129702527,No_efield,0.6935878307004231
208,CLN3,-0.6546772610593772,No_efield,0.003351720072424102
209,CLPB,-3.608271880819596,No_efield,6.224518377890511e-05
210,CLSPN,0.5753393212505822,No_efield,0.007703024566709445
211,CLUH,-0.8010605047254084,No_efield,0.000714721169037781
212,CNPY4,0.5242992250017414,No_efield,0.016287733854240087
213,COA7,-0.23583738356535103,No_efield,0.29491987763329164
214,COBLL1,0.07746899107970658,No_efield,0.7393028905564902
215,COL23A1,-0.10663066686959254,No_efield,0.632658583336232
216,COPB1,-0.04133791248861507,No_efield,0.8461280749578471
217,COPG1,-0.011487480865237302,No_efield,0.9527701852892662
218,COPG2,-0.08738729921895201,No_efield,0.69604614931155
219,COPS4,-0.745595955129728,No_efield,0.0030199898576965256
220,COPS5,-0.5855141604708849,No_efield,0.008530519362829007
221,COPS6,-1.9004473463759675,No_efield,7.322962797518248e-07
222,COPZ1,0.027858344072114755,No_efield,0.9113090345222774
223,COQ10B,0.18791347617362755,No_efield,0.4056730992792374
224,COQ6,-0.6157333850669661,No_efield,0.006024601493518263
225,CORIN,-0.5277522249022396,No_efield,0.023494993839557547
226,CORO1C,0.034792161723516436,No_efield,0.8897487674538241
227,CPA2,-0.11235999458529689,No_efield,0.6137228661344093
228,CPD,-2.4371216311770865,No_efield,7.322962797518248e-07
229,CPOX,-3.5409730864621434,No_efield,7.322962797518248e-07
230,CPTP,-0.1319616945607246,No_efield,0.5551010843477162
231,CREB3L3,-0.94893294324579,No_efield,0.018489748767453823
232,CRH,0.2850483434033213,No_efield,0.2003328286591472
233,CRIPT,-0.6795845999114305,No_efield,0.005419724766443255
234,CSDE1,-7.237754522015514,No_efield,7.322962797518248e-07
235,CSE1L,-0.23459711839513306,No_efield,0.29714166454605867
236,CSF2,-0.4273959421028514,No_efield,0.05597819221678899
237,CSNK1G2,-1.7219569744582497,No_efield,7.322962797518248e-07
238,CSPG4,-0.3894844930379535,No_efield,0.08390650773396409
239,CSTF2,-1.144770694664343,No_efield,6.0780591219401456e-05
240,CSTF2T,-0.5237548060569722,No_efield,0.020781836123077036
241,CTC1,1.105423481209276,No_efield,1.0984444196277371e-05
242,CTDP1,0.2367988380952993,No_efield,0.2914414703044705
243,CTDSPL2,-1.5514738161294044,No_efield,3.661481398759124e-06
244,CTTNBP2NL,-0.2176903830895169,No_efield,0.3327290668531581
245,CWC22,-0.39923332994767685,No_efield,0.08543261318096688
246,CYB5B,-0.753609702803035,No_efield,0.0004020306575837518
247,CYC1,-0.6056618579825355,No_efield,0.007952737598104817
248,CYP26C1,-0.3416401331557675,No_efield,0.13159803524908142
249,CYP46A1,-2.6750808112708673,No_efield,0.018290564179361327
250,CYTIP,0.5045844568747618,No_efield,0.020054665917283474
251,CYTL1,-0.5665952890284633,No_efield,0.010413253098070948
252,DAAM2,-0.016249996619392342,No_efield,0.9387262072361857
253,DAD1,-4.006183238202954,No_efield,2.1968888392554744e-06
254,DARS,0.5441091530089138,No_efield,0.011001287010711664
255,DAXX,0.028623038483789675,No_efield,0.9088060458380857
256,DBR1,-5.137675644444111,No_efield,7.322962797518248e-07
257,DCAF13,0.1859548252941422,No_efield,0.41205945513495307
258,DCAF4L2,-0.20221319707379912,No_efield,0.3707550157718311
259,DCT,-0.2769210427431586,No_efield,0.22393327316298903
260,DCTN5,-1.6310527447166898,No_efield,3.661481398759124e-06
261,DCTN6,-2.0916376006875326,No_efield,7.322962797518248e-07
262,DCUN1D1,0.9461392829795399,No_efield,0.0006627281331754014
263,DCUN1D5,-0.06914113359851996,No_efield,0.75765716451219
264,DCX,0.1818680654896622,No_efield,0.42122121389092815
265,DDA1,-0.8071430001070965,No_efield,0.002506650165590496
266,DDN,-0.5381610274542121,No_efield,0.04904920481777723
267,DDRGK1,-3.6827037203270705,No_efield,7.322962797518248e-07
268,DECR1,-0.09122526937593484,No_efield,0.6820072973324277
269,DEPDC1,-0.7713279513346162,No_efield,0.004119898869883766
270,DET1,-0.7435310247939121,No_efield,0.002565233867970642
271,DFFA,-1.469103835405628,No_efield,7.322962797518248e-07
272,DHPS,-0.45044975020656075,No_efield,0.04854611727358772
273,DHX15,-3.5516052104858886,No_efield,7.322962797518248e-07
274,DHX35,-1.1489478655561565,No_efield,7.542651681443796e-05
275,DICER1,-1.5182380160518532,No_efield,2.1968888392554744e-06
276,DIMT1,-0.7064891516824975,No_efield,0.0037339787304545547
277,DIRC1,0.12825871578809558,No_efield,0.5742023005087629
278,DIS3,-0.944183842035451,No_efield,0.016973895468367545
279,DKC1,-0.9080848462805361,No_efield,0.0007008075397224963
280,DNM2,-1.0360884719744237,No_efield,0.0003742033989531825
281,DNTTIP1,-1.4119839759458266,No_efield,0.0001449946633908613
282,DNTTIP2,-0.5399405944900256,No_efield,0.02334340850964892
283,DOCK2,-5.0168113666083025,No_efield,7.322962797518248e-07
284,DOK5,-0.4232233119963648,No_efield,0.058287122386846496
285,DOLPP1,-0.1538102483499966,No_efield,0.49439299046001023
286,DPH1,-2.7288424504052666,No_efield,7.322962797518248e-07
287,DRC7,0.21186490273872272,No_efield,0.3515732470200118
288,DRG1,1.2723826278989092,No_efield,3.661481398759124e-06
289,DSCR4,0.24118743987468685,No_efield,0.27980455012293426
290,DUT,-0.3033662023572068,No_efield,0.180395330146624
291,DYNAP,-0.1003651368451514,No_efield,0.6498763334657569
292,DYNC1H1,-0.19133379048795476,No_efield,0.4019706092888122
