LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID8469121,8469121,0,310.0965881347656,403.7628002164994,350.19402961896924,135.1295601307409,0.0,0,7.5,1,,652.8923556942277,569.0,400.0,1974.0,1255512.0,218.94486203295315,11287.747269890795,11207.0,5373.0,22046.0,2.1706338E7,2504.511091838716,0.11031863859453704,0.5925678497749509,0.03543411513452737,0.3084703565550565
ID9295311,9295311,0,400.1952209472656,475.4826058685957,374.4385888996397,115.18398344264776,20.0,20,7.5,1,,705.885595423817,596.0,411.0,1857.0,1357418.0,266.23849833822874,11050.015600624025,10934.0,5154.0,18063.0,2.124918E7,1853.3119468921639,0.1470363040495502,0.679736943191207,-0.007601227836107858,-0.09133598008135847
ID9140418,9140418,0,400.3951416015625,456.4568158053096,370.7764158041898,116.02206988660757,17.0,17,7.5,1,,693.5236609464379,592.0,398.0,1897.0,1333646.0,252.5367754031545,11056.502860114404,11052.0,6123.0,17190.0,2.1261655E7,1668.256886670687,0.13626784303713663,0.6586873347627185,-0.009887942051303913,-0.13237513467366419
ID8504843,8504843,0,298.5003967285156,400.92714826920235,348.16811823143814,135.6605865803073,1.0,1,7.5,1,,661.848153926157,573.0,415.0,1763.0,1272734.0,220.11754222195177,11587.822672906916,11209.0,3853.0,24681.0,2.2283383E7,2887.2391134971,0.11589257226187606,0.6245495762098353,0.03165195010503738,0.24627274594331353
ID9027333,9027333,0,447.7333068847656,434.6062444739783,367.0244197201115,114.62364358122923,11.0,11,7.5,1,,703.8211128445138,603.0,411.0,2032.0,1353448.0,252.00176574586035,11332.085803432137,11184.0,6211.0,18697.0,2.1791601E7,1800.7513093911368,0.13291791516631726,0.6553507163271624,0.006531239464642133,0.08166847750136755
ID9560733,9560733,0,406.5608825683594,508.18665032686613,391.6244312573525,79.12319760904846,27.0,27,7.5,1,,702.492459698388,593.0,401.0,1825.0,1350893.0,260.513255748612,11255.890795631825,11157.0,5686.0,18374.0,2.1645078E7,1982.8537965505284,0.1455451111215228,0.685215631904377,0.005633120141649195,0.063595826966233
ID8874199,8874199,0,429.31158447265625,502.86612317196983,397.8748971052903,82.87708864656338,26.0,26,7.5,1,,714.0140405616224,585.0,398.0,1985.0,1373049.0,297.3735538005194,11071.840873634945,11135.0,5402.0,18710.0,2.129115E7,2069.9839512499943,0.15171930674661302,0.6325991544438327,-0.006276345518130608,-0.06756535589702478
