,cell,frame,x,y,celltype,position,E_V_cm,date,trial,user,scope
60,0,3,344.3584668275415,301.69108522382334,CR01-low,10,0,20250506,0,NB,Oslo
61,0,4,345.7050408864702,301.5561701227778,CR01-low,10,0,20250506,0,NB,Oslo
62,0,5,344.67395447387565,302.18769878104274,CR01-low,10,0,20250506,0,NB,Oslo
63,0,6,341.47558674064373,304.7118769352728,CR01-low,10,0,20250506,0,NB,Oslo
64,0,7,344.6876918768056,307.1736258698645,CR01-low,10,0,20250506,0,NB,Oslo
65,0,8,345.9015274722525,306.0296579158548,CR01-low,10,0,20250506,0,NB,Oslo
66,0,9,343.3943790702794,305.2344588952782,CR01-low,10,0,20250506,0,NB,Oslo
67,0,10,341.8324521249816,305.26491979649575,CR01-low,10,0,20250506,0,NB,Oslo
68,0,11,341.5811615681552,306.074372950842,CR01-low,10,0,20250506,0,NB,Oslo
69,0,12,340.6897473804391,307.0621160464046,CR01-low,10,0,20250506,0,NB,Oslo
70,0,13,340.2355993204833,308.16220725693466,CR01-low,10,0,20250506,0,NB,Oslo
71,0,14,336.09502434610545,306.7831885806145,CR01-low,10,0,20250506,0,NB,Oslo
72,0,15,339.1712377279985,307.5375122615722,CR01-low,10,0,20250506,0,NB,Oslo
73,0,16,341.0654640279247,308.23503002233804,CR01-low,10,0,20250506,0,NB,Oslo
74,0,17,342.09855751722944,308.4928591811502,CR01-low,10,0,20250506,0,NB,Oslo
75,0,18,341.86216015020966,307.4732583703301,CR01-low,10,0,20250506,0,NB,Oslo
76,0,19,340.998845694471,308.0903619401552,CR01-low,10,0,20250506,0,NB,Oslo
77,0,20,341.299258459526,306.51816076027245,CR01-low,10,0,20250506,0,NB,Oslo
78,0,21,340.0041913804285,304.0473852998193,CR01-low,10,0,20250506,0,NB,Oslo
79,0,22,339.852826830135,305.7902613282671,CR01-low,10,0,20250506,0,NB,Oslo
80,0,23,338.67961586043765,310.33045820978583,CR01-low,10,0,20250506,0,NB,Oslo
81,0,24,343.03320588371463,312.93559816730703,CR01-low,10,0,20250506,0,NB,Oslo
82,0,0,387.669373932232,50.48186819749942,CR01-low,12,0,20250506,0,NB,Oslo
