,cell,frame,x,y,z,celltype,position,E_V_cm,date,trial,user,celltype_genotype
47,0,3,678.9795772653522,237.64405410395293,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
48,0,4,675.9763133978277,241.384469981234,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
49,0,5,669.5188941178355,240.77378161952288,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
50,0,6,661.6968629923252,228.9276150596072,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
51,0,7,651.3447987361476,215.28020019536015,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
52,0,8,648.5592837124859,204.18162244546704,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
53,0,9,651.1294772637814,187.7016531727324,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
54,0,10,656.9073651983707,179.06881580446682,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
55,0,11,663.8018547332263,174.52212729283707,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
56,0,12,681.5104564539652,167.7772686336644,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
57,0,13,690.8552335271045,168.89251875988646,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
58,0,14,695.1170078894535,172.35340285310832,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
59,0,15,699.5184598777554,177.9038275895942,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
60,0,16,698.5694718519395,182.04906983495647,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
61,0,17,694.3668840340148,185.436001566147,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
62,0,18,690.4455764576302,189.4888965025152,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
63,0,20,671.3351928329055,184.38687637362835,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
64,0,21,656.9911488569363,173.52466521340372,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
65,0,22,650.1154260395056,164.67023719752694,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
66,0,23,644.5604346430964,157.40369707457887,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
67,0,24,644.4699316449401,141.93717657144995,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
68,0,25,649.5889034192548,133.48787178098925,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
69,0,26,655.6341803238226,124.2020415585186,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
70,0,27,660.7269051684831,119.6920172437584,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
71,0,28,666.0798629491419,120.2784885672478,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
72,0,29,671.8839754963932,125.7521270392888,0.0,zebrafish_slideA,1,0,20250403,1,NB,Galvanin_WT
73,0,0,378.0267777083675,412.4586070502922,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
74,0,1,369.4640260870997,426.7895867227883,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
75,0,2,365.84781379372765,440.8035062204417,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
76,0,3,370.1025298887225,445.4124246029259,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
77,0,4,397.8660006272616,439.4530687537225,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
78,0,5,423.5645332619917,431.2167437578761,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
79,0,6,439.6140012043943,418.7698045576694,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
80,0,8,470.29638259805176,391.04615265481925,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
81,0,9,481.84473735541945,375.3625546121425,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
82,0,10,495.83806870272986,357.1775985511474,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
83,0,11,504.4970862206292,347.20069034009884,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
84,0,12,514.4130128670623,344.71179918893364,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
85,0,13,523.4066272505339,349.89680543688206,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
86,0,14,530.4099182114592,352.5914411695186,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
87,0,15,531.3495434737076,358.3683167504656,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
88,0,16,533.1706365740347,389.3258415007516,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
89,0,17,523.6817638133123,408.9461356200936,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
90,0,18,512.1350788173426,425.1071016897028,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
91,0,19,496.8283266363711,437.9224865003591,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
92,0,20,477.8178478437946,452.83982793630383,0.0,zebrafish_slideA,7,0,20250403,1,NB,Galvanin_WT
