LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID29479361,29479361,0,644.4608764648438,509.658857377723,358.26825592546925,0.0,8.0,8,7.5,1,,740.4810192407697,576.0,374.0,3554.0,1423945.0,436.63033442163635,12778.951118044723,12955.0,5089.0,24849.0,2.4573923E7,2391.4153408968855,0.19516882965029783,0.5538743094436671,0.00992310117178565,0.10500967308727487
ID29620096,29620096,0,89.72113800048828,489.108096999589,367.85861076859845,0.0,5.0,5,7.5,1,,551.0390015600624,542.0,355.0,1043.0,1059648.0,74.98186417870895,12109.798231929277,11408.0,5109.0,23096.0,2.3287142E7,3426.412243664628,0.05455399241830394,0.7603504712687201,-0.0074646833972356955,-0.05316094754626247
ID29759363,29759363,0,618.0994873046875,553.7622999217488,346.2858983274638,17.755390214547624,16.0,16,7.5,1,,808.6172646905876,639.0,423.0,2805.0,1554971.0,399.2608847130118,13405.373374934998,13188.0,6980.0,31198.0,2.5778533E7,2662.729531069178,0.20317589769811967,0.684005044127276,0.007179952556952847,0.07177882707639553
ID29283124,29283124,0,661.0891723632812,512.5903634489198,352.6550909063811,9.019398502464082,9.0,9,7.5,1,,837.6723868954758,636.0,403.0,3613.0,1610844.0,474.25366395537833,13296.463338533542,13200.0,6373.0,24937.0,2.5569099E7,2491.7621017212045,0.202003400602127,0.5936718883892635,0.0018113676515218004,0.01929657412894123
ID29321330,29321330,0,574.9072265625,500.0685025345938,360.32333196328267,0.0,7.0,7,7.5,1,,699.0676027041081,565.0,365.0,3388.0,1344307.0,373.02090118649045,12758.113364534582,12899.0,4752.0,23512.0,2.4533852E7,2819.01875712289,0.16997761262538005,0.5445404903035398,0.012870843567334896,0.11501948774806003
ID29720907,29720907,0,571.0739135742188,562.2978542179148,341.99919816405924,24.242262523214897,18.0,18,7.5,1,,821.6411856474259,597.0,389.0,3275.0,1580016.0,483.0567280421772,13389.42485699428,13018.0,4520.0,31961.0,2.5747864E7,3541.7924371704535,0.20949619201746292,0.5892311375672746,0.01237241805277231,0.09240236635947428
ID30030789,30030789,0,652.318359375,549.4081486393786,347.51734097699136,18.731689425622427,15.0,15,7.5,1,,823.3146125845034,625.0,411.0,2875.0,1583234.0,451.90073239060456,13477.26833073323,13181.0,6550.0,30020.0,2.5916787E7,2922.3750126637924,0.21257364023949407,0.6387840458420823,0.011945200203089328,0.10887605170592911
