LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID38298696,38298696,0,138.70298767089844,435.3171743366343,228.13196572768507,109.97130565002013,0.0,0,7.5,1,,584.418096723869,545.0,399.0,1407.0,1123836.0,129.49828312803314,30250.08060322413,30139.0,11348.0,60959.0,5.8170905E7,6004.477092232769,0.057954147415832644,0.4944328486873787,0.0010333325908033141,0.010400948061647276
ID37383292,37383292,0,140.1573944091797,434.8802966902261,228.29490666574998,114.17276981997446,1.0,1,7.5,1,,575.231929277171,541.0,406.0,1228.0,1106171.0,111.70434572137172,30343.497139885596,30303.0,14865.0,51007.0,5.8350545E7,5399.240093115728,0.05144993061486256,0.5039635280367357,7.371652755530182E-4,0.008279570884453203
ID38447053,38447053,0,141.00111389160156,456.3961106366047,199.05757171728544,111.1906224102294,28.0,28,7.5,1,,574.5709828393136,544.0,417.0,1225.0,1104900.0,106.99019925755299,29784.428497139885,29691.0,15034.0,52091.0,5.7275456E7,4966.873745192839,0.05124466490493709,0.5235697438035233,-0.002795971704328988,-0.03362674991916581
ID37348209,37348209,0,157.87896728515625,447.90544730677084,218.03303852555007,117.23522764494189,18.0,18,7.5,1,,583.625585023401,548.0,398.0,1340.0,1122312.0,119.26008536426161,30049.52990119605,30095.0,16076.0,50635.0,5.7785246E7,5057.428758547048,0.05678210903921978,0.5258904317938577,0.0026852715175356115,0.03182449155214889
ID38068687,38068687,0,142.1433563232422,444.87366555066274,216.8674524432746,110.29512689180788,9.0,9,7.5,1,,579.5070202808113,547.0,407.0,1316.0,1114392.0,108.54002904894102,30062.34373374935,30151.0,16050.0,55409.0,5.7809887E7,5417.875551550389,0.052364424870331966,0.5313356345220333,-1.5500224318868274E-4,-0.0017203987247697981
ID37914185,37914185,0,147.7477264404297,446.1029570451041,214.2687476111923,107.95730271370905,15.0,15,7.5,1,,579.321892875715,546.0,401.0,1294.0,1114036.0,117.12043160183612,29212.890795631825,29079.0,12681.0,58805.0,5.6176389E7,5633.568570288564,0.05517067356671356,0.5172527954046436,-0.00944814291925466,-0.0989213839418103
ID38372356,38372356,0,198.2017059326172,453.99596362964525,209.4271953042873,113.98974476886889,26.0,26,7.5,1,,551.6089443577744,522.0,201.0,14046.0,1060744.0,424.19023789101743,30449.698907956317,30497.0,16278.0,42698.0,5.8554771E7,2312.781670971012,0.022398595988862995,0.05697720976534615,0.011476072875002004,0.2987555934723426
