LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID40939121,40939121,0,40.093353271484375,342.1216444772581,352.8820660246632,174.59678739852436,0.0,0,7.5,1,,543.9869994799792,537.0,421.0,1230.0,1046087.0,67.87318573505047,43816.30005200208,44178.0,33397.0,51395.0,8.4258745E7,2649.124380092762,0.01129020891427081,0.17895608004885624,0.00987681246401573,0.3235279122458216
ID41140982,41140982,0,44.63017654418945,336.8961309084728,350.31221425268694,173.7408467061478,22.0,22,7.5,1,,548.3151326053043,539.0,398.0,1363.0,1054410.0,72.51080880223022,43698.54134165367,43678.0,38907.0,48053.0,8.4032295E7,1160.49271701068,0.011533267074007088,0.1724366816970229,0.0017980105308132782,0.13516572648789094
ID40073253,40073253,0,52.576324462890625,337.06759938658763,350.2467565112157,173.92906629490003,23.0,23,7.5,1,,550.9323972958919,542.0,420.0,1441.0,1059443.0,69.66027720602786,43620.03952158086,43628.0,39220.0,47605.0,8.3881336E7,1153.3347034072242,0.013724288178673964,0.21414753787381882,4.489109020464113E-4,0.03394110108978671
ID40817513,40817513,0,48.90922546386719,335.67109225383143,350.2220627513304,171.69239172766885,30.0,30,7.5,1,,546.5361414456578,537.0,406.0,1263.0,1050989.0,72.73594939309761,43669.50286011441,43702.0,39456.0,47423.0,8.3976454E7,1190.0258434951756,0.01323105917710282,0.19623925569088702,0.0022130440806620772,0.16206225001815427
ID41099641,41099641,0,51.68606948852539,338.74328558882286,351.5092776786063,173.79058705129262,16.0,16,7.5,1,,547.5626625065003,539.0,419.0,1297.0,1052963.0,72.1728875822524,43652.01092043682,43649.0,39269.0,47527.0,8.3942817E7,1137.3285013873474,0.012483580885131379,0.18708584559552083,0.002662005961232759,0.2037993494673964
ID40974845,40974845,0,47.29368209838867,339.44892915387993,351.40501988078086,174.08180977317647,14.0,14,7.5,1,,546.743109724389,537.0,392.0,1464.0,1051387.0,73.169678276214,44018.198647945916,44007.0,38997.0,47449.0,8.4646996E7,1165.7576096389218,0.012978936731864125,0.1914788758758853,0.002908094427157787,0.21897844641928288
ID40440741,40440741,0,47.2511100769043,336.66435487364623,350.678821459951,172.98889346125313,24.0,24,7.5,1,,545.705668226729,537.0,383.0,1270.0,1049392.0,70.3904060612037,43639.20644825793,43671.0,39449.0,47533.0,8.3918194E7,1130.3684634596843,0.011626805657779451,0.17820302612371075,7.011969794653007E-4,0.05410313427499959
